"Taxa","MPA","Source","Resp","Mean","SE","Model","Primary","Type","LinearBefore","Step0_Complete","Step1_SiteMerge","Step1_Reason","Step2_TypeFilter","Step2_Reason","Step3_MPAFilter","Step3_Reason","Passes_All","Exclusion_Reason"
"M. franciscanus","Anacapa Island SMR 2003","PISCO","Den",-1.22790073669812,0.258016575422269,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Anacapa Island SMR 2003","PISCO","Den",-1.50590669128412,0.184175202401525,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Campus Point SMCA","PISCO","Den",-1.04477485216778,0.3685622006935,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Campus Point SMCA","PISCO","Den",0.134943691641814,0.15518254246289,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Gull Island SMR","PISCO","Den",-0.890842125685582,0.362707726614915,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Gull Island SMR","PISCO","Den",-0.71920878641767,0.218469956563597,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Harris Point SMR","PISCO","Den",-0.275682634172156,0.200442657969648,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Harris Point SMR","PISCO","Den",0.533128917141583,0.115688703729682,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Matlahuayl SMR","PISCO","Den",-6.3229948141728,1.06615959875972,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Matlahuayl SMR","PISCO","Den",-1.70210569013065,1.06282252038514,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Naples SMCA","PISCO","Den",-0.129326594918103,0.505972984043897,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Naples SMCA","PISCO","Den",1.06940405086207,0.165320511301323,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Point Vicente SMCA","PISCO","Den",0.249636892226679,0.353831160872117,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Point Vicente SMCA","PISCO","Den",0.200397776833367,0.123389785960522,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Scorpion SMR","PISCO","Den",-0.456895059585838,0.157458799529481,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Scorpion SMR","PISCO","Den",-0.205782927936226,0.0973324385073938,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","South Point SMR","PISCO","Den",-0.552263084628643,0.371148495294326,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","South Point SMR","PISCO","Den",0.575850767882471,0.184155331939181,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Abalone Cove SMCA","PISCO","Bio",-1.61475479611937,0.492312902417835,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Abalone Cove SMCA","PISCO","Bio",0.526353975969542,0.21852235426422,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Campus Point SMCA","PISCO","Bio",-1.09288418301856,1.14628256670556,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Campus Point SMCA","PISCO","Bio",-0.260196321225985,0.380903349914306,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Gull Island SMR","PISCO","Bio",-0.967964532091134,0.580856301931893,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Gull Island SMR","PISCO","Bio",0.247312065359988,0.291971668295616,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Harris Point SMR","PISCO","Bio",-0.453194275648697,0.271165682163027,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Harris Point SMR","PISCO","Bio",0.0104139770069473,0.149605327317175,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Naples SMCA","PISCO","Bio",0.066851412132598,0.781952306939351,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Naples SMCA","PISCO","Bio",1.20552940263793,0.246868803466106,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Point Vicente SMCA","PISCO","Bio",0.512929210480778,0.342660376511692,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Point Vicente SMCA","PISCO","Bio",0.25380934589668,0.126101254756091,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","Scorpion SMR","PISCO","Bio",0.0710289920872125,0.311898124297434,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","Scorpion SMR","PISCO","Bio",0.0657490612931105,0.147843883418176,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. franciscanus","South Point SMR","PISCO","Bio",-0.204515743410267,0.518070649175145,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. franciscanus","South Point SMR","PISCO","Bio",1.2019129338584,0.214305798405572,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Abalone Cove SMCA","PISCO","Den",-2.81347723991224,1.18709158763241,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Abalone Cove SMCA","PISCO","Den",0.629659782171378,0.460477335356764,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Anacapa Island SMR 2003","PISCO","Den",-2.21787468139861,0.40299656405552,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Anacapa Island SMR 2003","PISCO","Den",-1.83891321380505,0.31622964933244,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Campus Point SMCA","PISCO","Den",-2.58226415373602,0.503522107448341,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Campus Point SMCA","PISCO","Den",-0.149960409310888,0.293123497534175,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Gull Island SMR","PISCO","Den",-1.69961169291499,0.460528928714855,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Gull Island SMR","PISCO","Den",-0.756605247158938,0.325716385758802,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Harris Point SMR","PISCO","Den",0.316023440820197,0.394792251787761,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Harris Point SMR","PISCO","Den",-0.38800179436619,0.219261590777002,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Matlahuayl SMR","PISCO","Den",-2.37768921993019,0.429240060269791,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Matlahuayl SMR","PISCO","Den",-1.54176833003167,0.403284019737629,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Naples SMCA","PISCO","Den",0.647617666263342,0.421500029810029,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Naples SMCA","PISCO","Den",-0.575966561952304,0.150250287585592,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Point Vicente SMCA","PISCO","Den",-0.526316253824345,1.08049571519284,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Point Vicente SMCA","PISCO","Den",-0.347221422213012,0.373142302899854,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Scorpion SMR","PISCO","Den",-1.46479826541099,0.330855293371953,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Scorpion SMR","PISCO","Den",-1.06957952539252,0.243985740326616,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","South Point SMR","PISCO","Den",-1.41045465476554,0.393452651505517,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","South Point SMR","PISCO","Den",0.376013951310252,0.251224536838632,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Abalone Cove SMCA","PISCO","Bio",-2.21378657731419,1.33477081677374,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Abalone Cove SMCA","PISCO","Bio",0.2153752703698,0.470994634924494,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Campus Point SMCA","PISCO","Bio",-1.56325828981891,0.697127206391565,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Campus Point SMCA","PISCO","Bio",-0.44326178098097,0.265585081947677,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Gull Island SMR","PISCO","Bio",-1.51733783502966,0.490857361439234,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Gull Island SMR","PISCO","Bio",-0.302745899812831,0.295012863367486,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Harris Point SMR","PISCO","Bio",0.12079841460593,0.482043878431353,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Harris Point SMR","PISCO","Bio",-1.03933690293981,0.241870101008451,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Naples SMCA","PISCO","Bio",0.484409762144752,0.480924719189468,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Naples SMCA","PISCO","Bio",-0.726809190301072,0.158626646140456,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Point Vicente SMCA","PISCO","Bio",0.413625945742234,0.847073497529893,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","Point Vicente SMCA","PISCO","Bio",-0.483913317267192,0.288983905165063,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Scorpion SMR","PISCO","Bio",-0.951943733734842,0.382209253244355,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","Scorpion SMR","PISCO","Bio",-0.631975337150573,0.213077449701928,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"S. purpuratus","South Point SMR","PISCO","Bio",-1.38462587389749,0.53230532210155,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"S. purpuratus","South Point SMR","PISCO","Bio",0.513643936052071,0.273590595555999,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Abalone Cove SMCA","PISCO","Bio",1.5405059683522,1.31274482202763,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Abalone Cove SMCA","PISCO","Bio",0.0928980342612579,0.439476004644354,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Anacapa Island SMR 2003","PISCO","Bio",0.338748560562214,0.915582453147783,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Anacapa Island SMR 2003","PISCO","Bio",1.53602595034663,0.405912387528616,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Campus Point SMCA","PISCO","Bio",1.61689033836503,0.634315487054725,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Campus Point SMCA","PISCO","Bio",0.293138701706993,0.256621098122136,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Gull Island SMR","PISCO","Bio",1.67565957137715,0.51084824568536,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Gull Island SMR","PISCO","Bio",0.565070816359997,0.342082348965496,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Harris Point SMR","PISCO","Bio",0.500827090260546,0.622194236877844,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Harris Point SMR","PISCO","Bio",-0.566388352444473,0.345636207842391,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Matlahuayl SMR","PISCO","Bio",2.47707240760637,1.21247973768889,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Matlahuayl SMR","PISCO","Bio",1.96203786047965,0.577594938538668,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Naples SMCA","PISCO","Bio",1.14083339484761,0.547080311552906,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Naples SMCA","PISCO","Bio",-0.715160809149468,0.208075142390672,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Point Vicente SMCA","PISCO","Bio",0.364753503765323,0.96367682049375,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","Point Vicente SMCA","PISCO","Bio",-0.528666845775013,0.331615794072522,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Scorpion SMR","PISCO","Bio",2.5680403778635,0.611798420693381,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"M. pyrifera","Scorpion SMR","PISCO","Bio",2.57565847871493,0.439113683837387,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","South Point SMR","PISCO","Bio",1.14903531109365,0.543701358889321,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"M. pyrifera","South Point SMR","PISCO","Bio",0.597685618416087,0.287899117992049,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Abalone Cove SMCA","PISCO","Den",2.1968767563385,1.28698529648582,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Abalone Cove SMCA","PISCO","Den",-0.888501606427589,0.456817043956181,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Anacapa Island SMR 2003","PISCO","Den",-0.981411593837645,0.47090389815757,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Anacapa Island SMR 2003","PISCO","Den",2.08486886339505,0.237810545474043,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Campus Point SMCA","PISCO","Den",2.3747333068447,0.774830306602015,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Campus Point SMCA","PISCO","Den",1.9610271044934,0.337112535310188,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Gull Island SMR","PISCO","Den",0.798666760950573,0.699723225435485,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Gull Island SMR","PISCO","Den",2.12636754426432,0.368366850823393,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Harris Point SMR","PISCO","Den",0.693628317322497,0.264098858179429,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Harris Point SMR","PISCO","Den",0.433059444191749,0.173553441721933,"Mean","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Matlahuayl SMR","PISCO","Den",-0.797254973650059,1.00737727694007,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Matlahuayl SMR","PISCO","Den",-0.109144843978447,0.375820204104143,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Naples SMCA","PISCO","Den",-0.583047080703901,0.90010571752719,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Naples SMCA","PISCO","Den",0.610412903447725,0.298384907711769,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Point Vicente SMCA","PISCO","Den",1.95922608972684,0.987487693365843,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Point Vicente SMCA","PISCO","Den",-0.28802944974392,0.38574044946365,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","Scorpion SMR","PISCO","Den",0.2221432141961,0.505519189012178,"Linear","N","CI","NA",TRUE,TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)",TRUE,"OK",FALSE,"CI but Primary=N (not the selected model)"
"P. interruptus","Scorpion SMR","PISCO","Den",2.64108928373663,0.259308876461179,"Mean","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
"P. interruptus","South Point SMR","PISCO","Den",2.57563465799428,0.420150267903034,"Linear","Y","CI","NA",TRUE,TRUE,"OK",TRUE,"OK",TRUE,"OK",TRUE,"INCLUDED"
